ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07747;2023-05-03T23:00:00+02:00;101760;90.0;1;330;3.0;288.85;286.15;84;19950.0;0;;;;3;250.0;;;;101240.0;;;-60.0;;;;;290.35;;;4.8;5.8;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;3.0;;240.0;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;15.700000000000045;;;;;17.200000000000045;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;5
07747;2023-05-08T20:00:00+02:00;101970;-10.0;5;310;6.6;296.15;280.65;37;42880.0;0;;;;0;;;;;101460.0;;;10.0;290.75;;298.75;;290.05;;;11.3;12.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.2;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;23.0;17.600000000000023;;25.600000000000023;;16.900000000000034;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;5
07747;2023-05-11T08:00:00+02:00;101820;-20.0;6;290;7.7;287.25;279.35;59;60000.0;0;;;;0;;;;;101290.0;;;-170.0;285.45;;292.05;;287.65;;;11.2;11.2;-10.0;0;0.0;;;0.0;-0.1;-0.1;-0.1;;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;14.100000000000023;12.300000000000011;;18.900000000000034;;14.5;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;5
07747;2023-05-12T05:00:00+02:00;101530;-160.0;6;300;8.0;286.35;278.05;57;60000.0;0;;;100.0;8;3060.0;;;;101000.0;;;-310.0;;;;;288.65;;;14.0;14.0;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;-0.1;;;;;8.0;;3060.0;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;13.200000000000045;;;;;15.5;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;5
07747;2023-05-15T20:00:00+02:00;101340;50.0;3;300;11.4;291.35;281.65;53;32720.0;61;;;75.0;1;1250.0;;;;100820.0;;;-190.0;289.25;;295.25;;288.95;;;17.6;17.7;-10.0;;0.0;;;-0.1;-0.1;-0.1;-0.1;1.0;;;;;1.0;;1110.0;3.0;;1680.0;6.0;;2580.0;;8;;42.737167, 2.872833;PERPIGNAN;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;Pluie, sans congélation, continue, faible au moment de l’observation;18.200000000000045;16.100000000000023;;22.100000000000023;;15.800000000000011;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;5
07747;2023-05-18T20:00:00+02:00;101820;20.0;3;310;8.9;289.95;275.55;38;54430.0;0;;;90.0;7;2250.0;;;;101300.0;;;150.0;287.85;;291.65;;289.75;;;13.5;17.7;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;7.0;;2340.0;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;16.80000000000001;14.700000000000045;;18.5;;16.600000000000023;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;5
07747;2023-05-22T05:00:00+02:00;101300;-130.0;6;280;4.5;289.75;285.45;76;56160.0;0;;;90.0;7;1750.0;;;;100780.0;;;90.0;;;;;289.75;;;6.8;6.8;-10.0;;0.0;;;-0.1;0.2;0.2;0.2;0.6;;;;;6.0;;1980.0;7.0;;2640.0;;8;;;;;42.737167, 2.872833;PERPIGNAN;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;16.600000000000023;;;;;16.600000000000023;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;5
07747;2023-05-22T17:00:00+02:00;101250;-160.0;6;360;2.2;297.45;284.75;45;59190.0;0;;;;3;1750.0;;;;100740.0;;;-150.0;;;;;289.55;;;3.7;12.5;-10.0;0;0.0;;;0.0;0.0;0.0;2.2;2.4;;;;;2.0;;1500.0;3.0;;1980.0;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;24.30000000000001;;;;;16.400000000000034;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;5
07747;2023-03-25T01:00:00+01:00;102070;60.0;3;250;2.2;285.25;277.75;60;60000.0;0;;;;0;;;;;101540.0;;;740.0;;;;;282.95;;;5.1;5.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;12.100000000000023;;;;;9.800000000000011;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;3
07747;2023-03-25T22:00:00+01:00;101700;-80.0;8;230;3.3;284.55;282.25;86;42320.0;0;;;;0;;;;;101170.0;;;-310.0;;;;;284.25;;;4.3;4.3;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;11.400000000000034;;;;;11.100000000000023;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;3
07747;2023-03-26T05:00:00+02:00;101410;-140.0;7;250;0.9;281.55;279.15;85;59440.0;0;;;90.0;7;3720.0;;;;100870.0;;;-680.0;;;;;281.65;;;2.0;3.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;7.0;;3720.0;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;8.400000000000034;;;;;8.5;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;3
07747;2023-03-26T17:00:00+02:00;101190;-270.0;6;300;15.7;291.55;276.95;38;15350.0;0;;;;0;;;;;100670.0;;;-650.0;;;;;281.25;;;25.1;25.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;18.400000000000034;;;;;8.100000000000023;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;3
07747;2023-04-04T02:00:00+02:00;101480;-10.0;8;300;7.7;285.55;277.05;56;60000.0;0;;;;1;1250.0;;;;100950.0;;;-480.0;;;;;284.05;;;11.5;11.8;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;;1290.0;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;12.400000000000034;;;;;10.900000000000034;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;4
07747;2023-04-04T05:00:00+02:00;101320;-160.0;6;300;5.5;284.05;276.55;60;60000.0;0;;;;0;;;;;100790.0;;;-530.0;;;;;283.05;;;9.3;9.8;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;10.900000000000034;;;;;9.900000000000034;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;4
07747;2023-04-05T11:00:00+02:00;101900;90.0;1;320;7.1;288.35;271.75;32;45560.0;0;;;;0;;;;;101370.0;;;360.0;;;;;282.95;;;13.9;13.9;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;15.200000000000045;;;;;9.800000000000011;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;4
07747;2023-04-08T08:00:00+02:00;101830;20.0;3;250;2.1;280.05;276.45;78;60000.0;0;;;;0;;;;;101290.0;;;90.0;278.95;;291.85;;279.95;;;2.8;3.4;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;6.900000000000034;5.800000000000011;;18.700000000000045;;6.800000000000011;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;4
07747;2023-04-11T14:00:00+02:00;101910;-230.0;8;310;3.6;295.95;282.05;41;19160.0;0;;;;1;1750.0;;;;101400.0;;;-210.0;;;;;285.35;;;7.0;10.4;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;;1680.0;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;22.80000000000001;;;;;12.200000000000045;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;4
07747;2023-05-24T08:00:00+02:00;101430;-30.0;6;290;4.5;293.05;284.75;59;54670.0;0;;;;1;6480.0;;;;100910.0;;;-20.0;288.95;;295.55;;286.85;;;7.2;8.6;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;;6480.0;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;19.900000000000034;15.800000000000011;;22.400000000000034;;13.700000000000045;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;5
07747;2023-05-30T14:00:00+02:00;101510;-60.0;8;80;5.0;300.65;285.85;40;57740.0;0;;;;0;;;;;101010.0;;;230.0;;;;;288.05;;;7.8;7.8;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;9;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;27.5;;;;;14.900000000000034;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;5
07747;2023-06-01T17:00:00+02:00;101490;-100.0;7;130;2.8;295.85;288.65;64;43480.0;0;;;;1;800.0;;;;100980.0;;;-30.0;;;;;290.55;;;5.1;7.7;-10.0;0;0.0;;;0.0;0.0;0.2;11.1;11.1;;;;;1.0;;810.0;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;22.700000000000045;;;;;17.400000000000034;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;6
07747;2023-06-02T17:00:00+02:00;101260;-80.0;6;110;4.8;298.05;287.85;53;56190.0;0;;;;0;;;;;100750.0;;;-230.0;;;;;287.65;;;8.1;9.7;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;24.900000000000034;;;;;14.5;42.737167;2.872833;42;Perpignan;66136;CU Perpignan Méditerranée Métropole;200027183;Pyrénées-Orientales;66;Occitanie;76;6
