X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93,ObjectId
1.44959,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,NO2,8,66.6,ug.m-3,journaliere,2023/09/25 00:00:00+00,2023/09/25 23:59:00+00,t,574726,6276223,219
1.41518,43.6103,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Port de l Embouchure Trafic,FR50821,Urbaine,Trafic,PM2.5,6001,8.4,ug.m-3,journaliere,2023/09/25 00:00:00+00,2023/09/25 23:59:00+00,t,572027,6280312,285
1.44959,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,PM10,5,28.5,ug.m-3,journaliere,2023/09/25 00:00:00+00,2023/09/25 23:59:00+00,t,574726,6276223,288
1.44959,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,NO,38,62.9,ug.m-3,journaliere,2023/09/25 00:00:00+00,2023/09/25 23:59:00+00,t,574726,6276223,290
1.44403,43.5873,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,NO,38,7.5,ug.m-3,journaliere,2023/09/25 00:00:00+00,2023/09/25 23:59:00+00,t,574306,6277713,300
1.39326,43.5616,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Eisenhower Industriel,FR50039,Urbaine,Industrielle,PM10,5,15.3,ug.m-3,journaliere,2023/09/25 00:00:00+00,2023/09/25 23:59:00+00,t,570147,6274936,301
1.41807,43.5757,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,PM10,5,18.4,ug.m-3,journaliere,2023/08/22 00:00:00+00,2023/08/22 23:59:00+00,t,572184,6276463,319
1.41807,43.5757,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,PM10,5,26.7,ug.m-3,journaliere,2023/08/23 00:00:00+00,2023/08/23 23:59:00+00,t,572184,6276463,320
1.41807,43.5757,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,PM10,5,24,ug.m-3,journaliere,2023/08/24 00:00:00+00,2023/08/24 23:59:00+00,t,572184,6276463,321
1.41807,43.5757,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,PM10,5,21.7,ug.m-3,journaliere,2023/08/25 00:00:00+00,2023/08/25 23:59:00+00,t,572184,6276463,322
1.41807,43.5757,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,PM10,5,7.6,ug.m-3,journaliere,2023/08/26 00:00:00+00,2023/08/26 23:59:00+00,t,572184,6276463,323
1.41807,43.5757,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,PM10,5,4.7,ug.m-3,journaliere,2023/08/27 00:00:00+00,2023/08/27 23:59:00+00,t,572184,6276463,324
1.41807,43.5757,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,PM10,5,5.2,ug.m-3,journaliere,2023/08/28 00:00:00+00,2023/08/28 23:59:00+00,t,572184,6276463,325
1.43861,43.6236,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Mazades Urbain,FR50021,Urbaine,Fond,PM10,5,18.1,ug.m-3,journaliere,2023/08/22 00:00:00+00,2023/08/22 23:59:00+00,t,573948,6281752,326
1.43861,43.6236,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Mazades Urbain,FR50021,Urbaine,Fond,PM10,5,22.6,ug.m-3,journaliere,2023/08/23 00:00:00+00,2023/08/23 23:59:00+00,t,573948,6281752,327
1.43861,43.6236,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Mazades Urbain,FR50021,Urbaine,Fond,PM10,5,23.9,ug.m-3,journaliere,2023/08/24 00:00:00+00,2023/08/24 23:59:00+00,t,573948,6281752,328
1.43861,43.6236,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Mazades Urbain,FR50021,Urbaine,Fond,PM10,5,21.6,ug.m-3,journaliere,2023/08/25 00:00:00+00,2023/08/25 23:59:00+00,t,573948,6281752,329
1.43861,43.6236,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Mazades Urbain,FR50021,Urbaine,Fond,PM10,5,7.4,ug.m-3,journaliere,2023/08/26 00:00:00+00,2023/08/26 23:59:00+00,t,573948,6281752,330
1.43861,43.6236,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Mazades Urbain,FR50021,Urbaine,Fond,PM10,5,4.6,ug.m-3,journaliere,2023/08/27 00:00:00+00,2023/08/27 23:59:00+00,t,573948,6281752,331
1.43861,43.6236,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Mazades Urbain,FR50021,Urbaine,Fond,PM10,5,5.7,ug.m-3,journaliere,2023/08/28 00:00:00+00,2023/08/28 23:59:00+00,t,573948,6281752,332
1.43861,43.6236,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Mazades Urbain,FR50021,Urbaine,Fond,PM10,5,10.1,ug.m-3,journaliere,2023/08/29 00:00:00+00,2023/08/29 23:59:00+00,t,573948,6281752,333
1.43861,43.6236,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Mazades Urbain,FR50021,Urbaine,Fond,PM10,5,6.4,ug.m-3,journaliere,2023/08/30 00:00:00+00,2023/08/30 23:59:00+00,t,573948,6281752,366
1.40392,43.5564,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Chapitre Industriel,FR50040,Urbaine,Industrielle,PM10,5,21.8,ug.m-3,journaliere,2023/08/22 00:00:00+00,2023/08/22 23:59:00+00,t,570997,6274342,386
1.40392,43.5564,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Chapitre Industriel,FR50040,Urbaine,Industrielle,PM10,5,25.8,ug.m-3,journaliere,2023/08/23 00:00:00+00,2023/08/23 23:59:00+00,t,570997,6274342,387
1.40392,43.5564,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Chapitre Industriel,FR50040,Urbaine,Industrielle,PM10,5,26.5,ug.m-3,journaliere,2023/08/24 00:00:00+00,2023/08/24 23:59:00+00,t,570997,6274342,388
1.40392,43.5564,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Chapitre Industriel,FR50040,Urbaine,Industrielle,PM10,5,28.5,ug.m-3,journaliere,2023/08/25 00:00:00+00,2023/08/25 23:59:00+00,t,570997,6274342,389
1.40392,43.5564,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Chapitre Industriel,FR50040,Urbaine,Industrielle,PM10,5,10.6,ug.m-3,journaliere,2023/08/26 00:00:00+00,2023/08/26 23:59:00+00,t,570997,6274342,390
1.40392,43.5564,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Chapitre Industriel,FR50040,Urbaine,Industrielle,PM10,5,6.9,ug.m-3,journaliere,2023/08/27 00:00:00+00,2023/08/27 23:59:00+00,t,570997,6274342,391
1.40392,43.5564,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Chapitre Industriel,FR50040,Urbaine,Industrielle,PM10,5,7.9,ug.m-3,journaliere,2023/08/28 00:00:00+00,2023/08/28 23:59:00+00,t,570997,6274342,392
1.40392,43.5564,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Chapitre Industriel,FR50040,Urbaine,Industrielle,PM10,5,14.3,ug.m-3,journaliere,2023/08/29 00:00:00+00,2023/08/29 23:59:00+00,t,570997,6274342,393
1.39326,43.5616,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Eisenhower Industriel,FR50039,Urbaine,Industrielle,PM10,5,16.8,ug.m-3,journaliere,2023/09/09 00:00:00+00,2023/09/09 23:59:00+00,t,570147,6274936,492
1.39326,43.5616,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Eisenhower Industriel,FR50039,Urbaine,Industrielle,PM10,5,15.2,ug.m-3,journaliere,2023/09/10 00:00:00+00,2023/09/10 23:59:00+00,t,570147,6274936,500
1.46765,43.6431,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Rte Albi Trafic,FR50054,Urbaine,Trafic,PM10,5,17.7,ug.m-3,journaliere,2023/08/22 00:00:00+00,2023/08/22 23:59:00+00,t,576334,6283873,570
1.44959,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,PM10,5,32.7,ug.m-3,journaliere,2023/08/22 00:00:00+00,2023/08/22 23:59:00+00,t,574726,6276223,584
1.44959,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,PM10,5,30.8,ug.m-3,journaliere,2023/08/23 00:00:00+00,2023/08/23 23:59:00+00,t,574726,6276223,585
1.44959,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,PM10,5,31.5,ug.m-3,journaliere,2023/08/24 00:00:00+00,2023/08/24 23:59:00+00,t,574726,6276223,586
