X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93,ObjectId
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,PM10,5,6.7,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,691771,6177360,38
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,PM10,5,12,ug.m-3,journaliere,2023/09/25 00:00:00+00,2023/09/25 23:59:00+00,t,691771,6177360,39
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,O3,7,61.6,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,691771,6177360,94
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,O3,7,57.5,ug.m-3,journaliere,2023/09/25 00:00:00+00,2023/09/25 23:59:00+00,t,691771,6177360,102
2.88845,42.6959,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan-Pyrenees Trafic,FR50224,Urbaine,Trafic,NOX,9,57,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,690848,6177376,119
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,PM2.5,6001,3.9,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,691771,6177360,143
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,PM2.5,6001,5,ug.m-3,journaliere,2023/09/25 00:00:00+00,2023/09/25 23:59:00+00,t,691771,6177360,146
2.88845,42.6959,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan-Pyrenees Trafic,FR50224,Urbaine,Trafic,NO2,8,34.9,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,690848,6177376,214
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,11.2,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,691771,6177360,230
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,20.9,ug.m-3,journaliere,2023/09/25 00:00:00+00,2023/09/25 23:59:00+00,t,691771,6177360,231
2.88845,42.6959,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan-Pyrenees Trafic,FR50224,Urbaine,Trafic,NO2,8,53.1,ug.m-3,journaliere,2023/09/25 00:00:00+00,2023/09/25 23:59:00+00,t,690848,6177376,232
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,PM10,5,26.3,ug.m-3,journaliere,2023/08/22 00:00:00+00,2023/08/22 23:59:00+00,t,691771,6177360,894
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,PM10,5,25.9,ug.m-3,journaliere,2023/08/23 00:00:00+00,2023/08/23 23:59:00+00,t,691771,6177360,895
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,PM10,5,23.5,ug.m-3,journaliere,2023/08/24 00:00:00+00,2023/08/24 23:59:00+00,t,691771,6177360,896
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,PM10,5,16.6,ug.m-3,journaliere,2023/08/25 00:00:00+00,2023/08/25 23:59:00+00,t,691771,6177360,897
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,PM10,5,15.2,ug.m-3,journaliere,2023/08/26 00:00:00+00,2023/08/26 23:59:00+00,t,691771,6177360,898
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,PM10,5,4.1,ug.m-3,journaliere,2023/08/27 00:00:00+00,2023/08/27 23:59:00+00,t,691771,6177360,899
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,PM10,5,4.4,ug.m-3,journaliere,2023/08/28 00:00:00+00,2023/08/28 23:59:00+00,t,691771,6177360,900
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,PM10,5,8.4,ug.m-3,journaliere,2023/08/29 00:00:00+00,2023/08/29 23:59:00+00,t,691771,6177360,901
2.88845,42.6959,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan-Pyrenees Trafic,FR50224,Urbaine,Trafic,NOX,9,59.4,ug.m-3,journaliere,2023/08/22 00:00:00+00,2023/08/22 23:59:00+00,t,690848,6177376,1460
2.88845,42.6959,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan-Pyrenees Trafic,FR50224,Urbaine,Trafic,NOX,9,55.9,ug.m-3,journaliere,2023/08/23 00:00:00+00,2023/08/23 23:59:00+00,t,690848,6177376,1461
2.88845,42.6959,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan-Pyrenees Trafic,FR50224,Urbaine,Trafic,NOX,9,56.7,ug.m-3,journaliere,2023/08/24 00:00:00+00,2023/08/24 23:59:00+00,t,690848,6177376,1462
2.88845,42.6959,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan-Pyrenees Trafic,FR50224,Urbaine,Trafic,NOX,9,59.9,ug.m-3,journaliere,2023/08/25 00:00:00+00,2023/08/25 23:59:00+00,t,690848,6177376,1463
2.88845,42.6959,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan-Pyrenees Trafic,FR50224,Urbaine,Trafic,NOX,9,47,ug.m-3,journaliere,2023/08/26 00:00:00+00,2023/08/26 23:59:00+00,t,690848,6177376,1464
2.88845,42.6959,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan-Pyrenees Trafic,FR50224,Urbaine,Trafic,NOX,9,36.6,ug.m-3,journaliere,2023/08/27 00:00:00+00,2023/08/27 23:59:00+00,t,690848,6177376,1465
2.88845,42.6959,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan-Pyrenees Trafic,FR50224,Urbaine,Trafic,NOX,9,41.6,ug.m-3,journaliere,2023/08/28 00:00:00+00,2023/08/28 23:59:00+00,t,690848,6177376,1466
2.88845,42.6959,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan-Pyrenees Trafic,FR50224,Urbaine,Trafic,NOX,9,55,ug.m-3,journaliere,2023/08/29 00:00:00+00,2023/08/29 23:59:00+00,t,690848,6177376,1467
