X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93,ObjectId
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,PM10,5,6.7,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,691771,6177360,38
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,PM10,5,12,ug.m-3,journaliere,2023/09/25 00:00:00+00,2023/09/25 23:59:00+00,t,691771,6177360,39
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,O3,7,61.6,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,691771,6177360,94
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,O3,7,57.5,ug.m-3,journaliere,2023/09/25 00:00:00+00,2023/09/25 23:59:00+00,t,691771,6177360,102
2.88845,42.6959,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan-Pyrenees Trafic,FR50224,Urbaine,Trafic,NOX,9,57,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,690848,6177376,119
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,PM2.5,6001,3.9,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,691771,6177360,143
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,PM2.5,6001,5,ug.m-3,journaliere,2023/09/25 00:00:00+00,2023/09/25 23:59:00+00,t,691771,6177360,146
2.88845,42.6959,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan-Pyrenees Trafic,FR50224,Urbaine,Trafic,NO2,8,34.9,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,690848,6177376,214
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,11.2,ug.m-3,journaliere,2023/09/24 00:00:00+00,2023/09/24 23:59:00+00,t,691771,6177360,230
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,20.9,ug.m-3,journaliere,2023/09/25 00:00:00+00,2023/09/25 23:59:00+00,t,691771,6177360,231
2.88845,42.6959,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan-Pyrenees Trafic,FR50224,Urbaine,Trafic,NO2,8,53.1,ug.m-3,journaliere,2023/09/25 00:00:00+00,2023/09/25 23:59:00+00,t,690848,6177376,232
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,13.4,ug.m-3,journaliere,2023/09/07 00:00:00+00,2023/09/07 23:59:00+00,t,691771,6177360,2479
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,17.5,ug.m-3,journaliere,2023/09/08 00:00:00+00,2023/09/08 23:59:00+00,t,691771,6177360,2490
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,9.6,ug.m-3,journaliere,2023/09/09 00:00:00+00,2023/09/09 23:59:00+00,t,691771,6177360,2491
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,6.6,ug.m-3,journaliere,2023/09/10 00:00:00+00,2023/09/10 23:59:00+00,t,691771,6177360,2499
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,9.6,ug.m-3,journaliere,2023/09/01 00:00:00+00,2023/09/01 23:59:00+00,t,691771,6177360,2502
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,7.4,ug.m-3,journaliere,2023/09/02 00:00:00+00,2023/09/02 23:59:00+00,t,691771,6177360,2503
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,8,ug.m-3,journaliere,2023/09/03 00:00:00+00,2023/09/03 23:59:00+00,t,691771,6177360,2504
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,14.1,ug.m-3,journaliere,2023/09/04 00:00:00+00,2023/09/04 23:59:00+00,t,691771,6177360,2505
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,11.3,ug.m-3,journaliere,2023/09/05 00:00:00+00,2023/09/05 23:59:00+00,t,691771,6177360,2506
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,12.7,ug.m-3,journaliere,2023/09/20 00:00:00+00,2023/09/20 23:59:00+00,t,691771,6177360,2507
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,11,ug.m-3,journaliere,2023/09/21 00:00:00+00,2023/09/21 23:59:00+00,t,691771,6177360,2508
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,8.5,ug.m-3,journaliere,2023/09/06 00:00:00+00,2023/09/06 23:59:00+00,t,691771,6177360,2509
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,9.1,ug.m-3,journaliere,2023/09/11 00:00:00+00,2023/09/11 23:59:00+00,t,691771,6177360,2510
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,7.7,ug.m-3,journaliere,2023/09/12 00:00:00+00,2023/09/12 23:59:00+00,t,691771,6177360,2511
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,10.7,ug.m-3,journaliere,2023/09/13 00:00:00+00,2023/09/13 23:59:00+00,t,691771,6177360,2513
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - Urbain,FR50220,Urbaine,Fond,NO2,8,14.8,ug.m-3,journaliere,2023/09/14 00:00:00+00,2023/09/14 23:59:00+00,t,691771,6177360,2514
